"unidade";"equipe";"cd_grupo_cid";"nm_grupo_cid";"consultas"
"CS CACHOEIRA DO BOM JESUS";"400";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"100"
"CS CACHOEIRA DO BOM JESUS";"400";"E10-E14";"DIABETES MELLITUS";"98"
"CS CACHOEIRA DO BOM JESUS";"400";"R50-R69";"SINTOMAS E SINAIS GERAIS";"98"
"CS CACHOEIRA DO BOM JESUS";"401";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1015"
"CS CACHOEIRA DO BOM JESUS";"401";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"885"
"CS CACHOEIRA DO BOM JESUS";"401";"I10-I15";"DOENÇAS HIPERTENSIVAS";"354"
"CS CACHOEIRA DO BOM JESUS";"401";"E10-E14";"DIABETES MELLITUS";"113"
"CS CACHOEIRA DO BOM JESUS";"401";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"112"
"CS CACHOEIRA DO BOM JESUS";"401";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"92"
"CS CACHOEIRA DO BOM JESUS";"401";"R50-R69";"SINTOMAS E SINAIS GERAIS";"81"
"CS CACHOEIRA DO BOM JESUS";"401";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"77"
"CS CACHOEIRA DO BOM JESUS";"401";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"71"
"CS CACHOEIRA DO BOM JESUS";"401";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"70"
"CS CACHOEIRA DO BOM JESUS";"402";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1347"
"CS CACHOEIRA DO BOM JESUS";"402";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"466"
"CS CACHOEIRA DO BOM JESUS";"402";"I10-I15";"DOENÇAS HIPERTENSIVAS";"240"
"CS CACHOEIRA DO BOM JESUS";"402";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"189"
"CS CACHOEIRA DO BOM JESUS";"402";"E10-E14";"DIABETES MELLITUS";"122"
"CS CACHOEIRA DO BOM JESUS";"402";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"111"
"CS CACHOEIRA DO BOM JESUS";"402";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"101"
"CS CACHOEIRA DO BOM JESUS";"402";"M50-M54";"OUTRAS DORSOPATIAS";"97"
"CS CACHOEIRA DO BOM JESUS";"402";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"96"
"CS CACHOEIRA DO BOM JESUS";"402";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"87"
"CS CAIEIRA DA BARRA DO SUL";"200";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"910"
"CS CAIEIRA DA BARRA DO SUL";"200";"I10-I15";"DOENÇAS HIPERTENSIVAS";"477"
"CS CAIEIRA DA BARRA DO SUL";"200";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"376"
"CS CAIEIRA DA BARRA DO SUL";"200";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"206"
"CS CAIEIRA DA BARRA DO SUL";"200";"E10-E14";"DIABETES MELLITUS";"178"
"CS CAIEIRA DA BARRA DO SUL";"200";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"143"
"CS CAIEIRA DA BARRA DO SUL";"200";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"113"
"CS CAIEIRA DA BARRA DO SUL";"200";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"92"
"CS CAIEIRA DA BARRA DO SUL";"200";"M50-M54";"OUTRAS DORSOPATIAS";"80"
"CS CAIEIRA DA BARRA DO SUL";"200";"R50-R69";"SINTOMAS E SINAIS GERAIS";"68"
"CS CAMPECHE";"280";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"653"
"CS CAMPECHE";"280";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"582"
"CS CAMPECHE";"280";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"427"
"CS CAMPECHE";"280";"I10-I15";"DOENÇAS HIPERTENSIVAS";"397"
"CS CAMPECHE";"280";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"195"
"CS CAMPECHE";"280";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"163"
"CS CAMPECHE";"280";"E10-E14";"DIABETES MELLITUS";"124"
"CS CAMPECHE";"280";"R50-R69";"SINTOMAS E SINAIS GERAIS";"113"
"CS CAMPECHE";"280";"R40-R46";"SINTOMAS E SINAIS RELATIVOS À COGNIÇÃO, À PERCEPÇÃO, AO ESTADO EMOCIONAL E AO COMPORTAMENTO";"106"
"CS CAMPECHE";"280";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"104"
"CS CAMPECHE";"281";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"919"
"CS CAMPECHE";"281";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"866"
"CS CAMPECHE";"281";"I10-I15";"DOENÇAS HIPERTENSIVAS";"479"
"CS CAMPECHE";"281";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"181"
"CS CAMPECHE";"281";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"154"
"CS CAMPECHE";"281";"E10-E14";"DIABETES MELLITUS";"149"
"CS CAMPECHE";"281";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"120"
"CS CAMPECHE";"281";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"89"
"CS CAMPECHE";"281";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"76"
"CS CAMPECHE";"281";"H60-H62";"DOENÇAS DO OUVIDO EXTERNO";"65"
"CS CAMPECHE";"282";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"685"
"CS CAMPECHE";"282";"I10-I15";"DOENÇAS HIPERTENSIVAS";"366"
"CS CAMPECHE";"282";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"361"
"CS CAMPECHE";"282";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"116"
"CS CAMPECHE";"282";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"116"
"CS CAMPECHE";"282";"R50-R69";"SINTOMAS E SINAIS GERAIS";"112"
"CS CAMPECHE";"282";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"100"
"CS CAMPECHE";"282";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"97"
"CS CAMPECHE";"282";"R40-R46";"SINTOMAS E SINAIS RELATIVOS À COGNIÇÃO, À PERCEPÇÃO, AO ESTADO EMOCIONAL E AO COMPORTAMENTO";"97"
"CS CAMPECHE";"282";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"95"
"CS CAMPECHE";"283";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"570"
"CS CAMPECHE";"283";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"318"
"CS CAMPECHE";"283";"I10-I15";"DOENÇAS HIPERTENSIVAS";"248"
"CS CAMPECHE";"283";"R50-R69";"SINTOMAS E SINAIS GERAIS";"98"
"CS CAMPECHE";"283";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"88"
"CS CAMPECHE";"283";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"82"
"CS CAMPECHE";"283";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"80"
"CS CAMPECHE";"283";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"80"
"CS CAMPECHE";"283";"M50-M54";"OUTRAS DORSOPATIAS";"64"
"CS CAMPECHE";"283";"E10-E14";"DIABETES MELLITUS";"63"
"CS CANASVIEIRAS";"380";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"2248"
"CS CANASVIEIRAS";"380";"I10-I15";"DOENÇAS HIPERTENSIVAS";"665"
"CS CANASVIEIRAS";"380";"E10-E14";"DIABETES MELLITUS";"165"
"CS CANASVIEIRAS";"380";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"154"
"CS CANASVIEIRAS";"380";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"139"
"CS CANASVIEIRAS";"380";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"85"
"CS CANASVIEIRAS";"380";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"60"
"CS CANASVIEIRAS";"380";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"45"
"CS CANASVIEIRAS";"380";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"43"
"CS CANASVIEIRAS";"380";"M50-M54";"OUTRAS DORSOPATIAS";"40"
"CS CANASVIEIRAS";"381";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"2227"
"CS CANASVIEIRAS";"381";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1410"
"CS CANASVIEIRAS";"381";"I10-I15";"DOENÇAS HIPERTENSIVAS";"222"
"CS CANASVIEIRAS";"381";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"198"
"CS CANASVIEIRAS";"381";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"91"
"CS CANASVIEIRAS";"381";"E10-E14";"DIABETES MELLITUS";"79"
"CS CANASVIEIRAS";"381";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"71"
"CS CANASVIEIRAS";"381";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"70"
"CS CANASVIEIRAS";"381";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"62"
"CS CANASVIEIRAS";"381";"E00-E07";"TRANSTORNOS DA GLÂNDULA TIREÓIDE";"50"
"CS CANASVIEIRAS";"382";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1815"
"CS CANASVIEIRAS";"382";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1331"
"CS CANASVIEIRAS";"382";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"159"
"CS CANASVIEIRAS";"382";"I10-I15";"DOENÇAS HIPERTENSIVAS";"129"
"CS CANASVIEIRAS";"382";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"69"
"CS CANASVIEIRAS";"382";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"37"
"CS CANASVIEIRAS";"382";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"32"
"CS CANASVIEIRAS";"382";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"31"
"CS CANASVIEIRAS";"382";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"28"
"CS CANASVIEIRAS";"382";"H60-H62";"DOENÇAS DO OUVIDO EXTERNO";"26"
"CS CANASVIEIRAS";"383";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1819"
"CS CANASVIEIRAS";"383";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1080"
"CS CANASVIEIRAS";"383";"I10-I15";"DOENÇAS HIPERTENSIVAS";"507"
"CS CANASVIEIRAS";"383";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"263"
"CS CANASVIEIRAS";"383";"E10-E14";"DIABETES MELLITUS";"214"
"CS CANASVIEIRAS";"383";"M50-M54";"OUTRAS DORSOPATIAS";"62"
"CS CANASVIEIRAS";"383";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"54"
"CS CANASVIEIRAS";"383";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"44"
"CS CANASVIEIRAS";"383";"R50-R69";"SINTOMAS E SINAIS GERAIS";"42"
"CS CANASVIEIRAS";"383";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"37"
"CS CANASVIEIRAS";"384";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1688"
"CS CANASVIEIRAS";"384";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1044"
"CS CANASVIEIRAS";"384";"I10-I15";"DOENÇAS HIPERTENSIVAS";"596"
"CS CANASVIEIRAS";"384";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"276"
"CS CANASVIEIRAS";"384";"E10-E14";"DIABETES MELLITUS";"175"
"CS CANASVIEIRAS";"384";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"143"
"CS CANASVIEIRAS";"384";"M50-M54";"OUTRAS DORSOPATIAS";"116"
"CS CANASVIEIRAS";"384";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"94"
"CS CANASVIEIRAS";"384";"E00-E07";"TRANSTORNOS DA GLÂNDULA TIREÓIDE";"66"
"CS CANASVIEIRAS";"384";"R50-R69";"SINTOMAS E SINAIS GERAIS";"59"
"CS CANASVIEIRAS";"385";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1223"
"CS CANASVIEIRAS";"385";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1029"
"CS CANASVIEIRAS";"385";"I10-I15";"DOENÇAS HIPERTENSIVAS";"154"
"CS CANASVIEIRAS";"385";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"129"
"CS CANASVIEIRAS";"385";"M50-M54";"OUTRAS DORSOPATIAS";"121"
"CS CANASVIEIRAS";"385";"E10-E14";"DIABETES MELLITUS";"92"
"CS CANASVIEIRAS";"385";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"79"
"CS CANASVIEIRAS";"385";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"57"
"CS CANASVIEIRAS";"385";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"55"
"CS CANASVIEIRAS";"385";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"48"
"CS CANTO DA LAGOA";"450";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1149"
"CS CANTO DA LAGOA";"450";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"736"
"CS CANTO DA LAGOA";"450";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"202"
"CS CANTO DA LAGOA";"450";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"122"
"CS CANTO DA LAGOA";"450";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"119"
"CS CANTO DA LAGOA";"450";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"86"
"CS CANTO DA LAGOA";"450";"E10-E14";"DIABETES MELLITUS";"79"
"CS CANTO DA LAGOA";"450";"H60-H62";"DOENÇAS DO OUVIDO EXTERNO";"76"
"CS CANTO DA LAGOA";"450";"M50-M54";"OUTRAS DORSOPATIAS";"65"
"CS CANTO DA LAGOA";"450";"K20-K31";"DOENÇAS DO ESÔFAGO, DO ESTÔMAGO E DO DUODENO";"64"
"CS CAPIVARI";"990";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1741"
"CS CAPIVARI";"990";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"807"
"CS CAPIVARI";"990";"I10-I15";"DOENÇAS HIPERTENSIVAS";"295"
"CS CAPIVARI";"990";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"177"
"CS CAPIVARI";"990";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"91"
"CS CAPIVARI";"990";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"91"
"CS CAPIVARI";"990";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"85"
"CS CAPIVARI";"990";"M50-M54";"OUTRAS DORSOPATIAS";"84"
"CS CAPIVARI";"990";"E10-E14";"DIABETES MELLITUS";"80"
"CS CAPIVARI";"990";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"71"
"CS CAPIVARI";"991";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"865"
"CS CAPIVARI";"991";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"737"
"CS CAPIVARI";"991";"I10-I15";"DOENÇAS HIPERTENSIVAS";"315"
"CS CAPIVARI";"991";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"157"
"CS CAPIVARI";"991";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"107"
"CS CAPIVARI";"991";"M50-M54";"OUTRAS DORSOPATIAS";"92"
"CS CAPIVARI";"991";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"89"
"CS CAPIVARI";"991";"E10-E14";"DIABETES MELLITUS";"79"
"CS CAPIVARI";"991";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"65"
"CS CAPIVARI";"991";"M20-M25";"OUTROS TRANSTORNOS ARTICULARES";"55"
"CS CAPIVARI";"992";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"873"
"CS CAPIVARI";"992";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"575"
"CS CAPIVARI";"992";"I10-I15";"DOENÇAS HIPERTENSIVAS";"264"
"CS CAPIVARI";"992";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"137"
"CS CAPIVARI";"992";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"95"
"CS CAPIVARI";"992";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"84"
"CS CAPIVARI";"992";"R50-R69";"SINTOMAS E SINAIS GERAIS";"74"
"CS CAPIVARI";"992";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"59"
"CS CAPIVARI";"992";"N80-N98";"TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO";"50"
"CS CAPIVARI";"992";"M50-M54";"OUTRAS DORSOPATIAS";"49"
"CS CAPIVARI";"993";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1117"
"CS CAPIVARI";"993";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"834"
"CS CAPIVARI";"993";"I10-I15";"DOENÇAS HIPERTENSIVAS";"328"
"CS CAPIVARI";"993";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"178"
"CS CAPIVARI";"993";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"88"
"CS CAPIVARI";"993";"E10-E14";"DIABETES MELLITUS";"80"
"CS CAPIVARI";"993";"R50-R69";"SINTOMAS E SINAIS GERAIS";"80"
"CS CAPIVARI";"993";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"78"
"CS CAPIVARI";"993";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"69"
"CS CAPIVARI";"993";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"62"
"CS CAPIVARI";"994";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"2075"
"CS CAPIVARI";"994";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"844"
"CS CAPIVARI";"994";"I10-I15";"DOENÇAS HIPERTENSIVAS";"517"
"CS CAPIVARI";"994";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"471"
"CS CAPIVARI";"994";"R50-R69";"SINTOMAS E SINAIS GERAIS";"132"
"CS CAPIVARI";"994";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"118"
"CS CAPIVARI";"994";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"94"
"CS CAPIVARI";"994";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"85"
"CS CAPIVARI";"994";"E10-E14";"DIABETES MELLITUS";"73"
"CS CAPIVARI";"994";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"73"
"CS CAPIVARI";"995";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"373"
"CS CAPIVARI";"995";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"353"
"CS CAPIVARI";"995";"I10-I15";"DOENÇAS HIPERTENSIVAS";"178"
"CS CAPIVARI";"995";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"71"
