CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
M532;INSTABILIDADES DA COLUNA VERTEBRAL;M53;OUTR DORSOPATIAS NCOP;M50-M54;OUTRAS DORSOPATIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
T874;INFECC DE COTO DA AMPUT;T87;COMPLIC PROPRIAS DE REIMPLANTE E AMPUT;T80-T88;COMPLICAÇÕES DE CUIDADOS MÉDICOS E CIRÚRGICOS, NÃO CLASSIFICADOS EM OUTRA PARTE;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
M014;ARTRITE NA RUBEOLA;M01;INFECC DIRETAS ARTIC DOENC INFEC PARASIT COP;M00-M03;ARTROPATIAS INFECCIOSAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
W114;RUA E ESTRADA;W11;QUEDA EM OU DE ESCADAS DE MAO;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
F51;TRANST NAO-ORGANICOS SONO DEV FAT EMOCIONAIS;F51;TRANST NAO-ORGANICOS SONO DEV FAT EMOCIONAIS;F50-F59;SÍNDROMES COMPORTAMENTAIS ASSOCIADAS A DISFUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
O848;OUTR TIPO DE PARTO MULT;O84;PARTO MULT;O80-O84;PARTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
M241;OUTR TRANST DAS CARTILAGENS ARTICULARES;M24;OUTR TRANST ARTICULARES ESPECIFICOS;M20-M25;OUTROS TRANSTORNOS ARTICULARES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
R45;SINT E SINAIS RELATIVOS AO ESTADO EMOCIONAL;R45;SINT E SINAIS RELATIVOS AO ESTADO EMOCIONAL;R40-R46;SINTOMAS E SINAIS RELATIVOS À COGNIÇÃO, À PERCEPÇÃO, AO ESTADO EMOCIONAL E AO COMPORTAMENTO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
V639;OCUPANTE NE ACID TRANS;V63;OCUP VEIC TR PESADO TRAUM COL AUTO CAMINHON;V60-V69;OCUPANTE DE UM VEÍCULO DE TRANSPORTE PESADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M959;DEFORM ADQUIR DO SIST OSTEOMUSCULAR NE;M95;OUTR DEFORM ADQUIR SIST OSTEOMUSC TEC CONJ;M95-M99;OUTROS TRANSTORNOS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
R870;NIVEL ENZIMATICO ANORMAL;R87;ACHADOS ANORMAIS MAT PROV ORG GENITAIS FEMIN;R83-R89;ACHADOS ANORMAIS DE EXAMES E DE OUTROS LÍQUIDOS, SUBSTÂNCIAS E TECIDOS DO CORPO, SEM DIAGNÓSTICO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
B519;MALARIA P/PLASMODIUM VIVAX S/COMPLIC;B51;MALARIA P/PLASMODIUM VIVAX;B50-B64;DOENÇAS DEVIDAS A PROTOZOÁRIOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
Y622;DURANTE HEMODIALISE OU OUTR PERFUSOES;Y62;ASSEPS INSUF PREST CUIDADOS CIRURG E MEDICOS;Y60-Y69;ACIDENTES OCORRIDOS EM PACIENTES DURANTE A PRESTAÇÃO DE CUIDADOS MÉDICOS E CIRÚRGICOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A227;SEPTICEMIA CARBUNCULOSA;A22;CARBUNCULO;A20-A28;ALGUMAS DOENÇAS BACTERIANAS ZOONÓTICAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
X167;FAZENDA;X16;CONTATO C/AQUECEDORES RADIADORES E TUBULACAO;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
D019;ORGAOS DIGESTIVOS NE;D01;CARCINOMA IN SITU DE OUTR ORGAOS DIGESTIVOS;D00-D09;NEOPLASIAS [TUMORES] IN SITU;2;NEOPLASIAS [TUMORES]
B170;INFECC DELTA AGUDA DE PORTADOR DE HEPATITE B;B17;OUTR HEPATITES VIRAIS AGUDAS;B15-B19;HEPATITE VIRAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
V489;OCUPANTE NE ACID TRANS;V48;OCUP AUTOMOVEL TRAUM ACID TRANSP S/COLIS;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
P004;FET REC-NASC AFET TRANST NUTRICIONAIS MATERN;P00;FET REC-NASC AFET AFEC MAT N OBR REL GRAV AT;P00-P04;FETO E RECÉM-NASCIDO AFETADOS POR FATORES MATERNOS E POR COMPLICAÇÕES DA GRAVIDEZ, DO TRABALHO DE PARTO E DO PARTO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
D802;DEFIC SELETIVA DE IMUNOGLOBULINA A;D80;IMUNODEFIC C/PREDOM DEFEITOS ANTICORPOS;D80-D89;ALGUNS TRANSTORNOS QUE COMPROMETEM O MECANISMO IMUNITÁRIO;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
W102;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;W10;QUEDA EM OU DE ESCADAS OU DEGRAUS;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
K659;PERITONITE SOE;K65;PERITONITE;K65-K67;DOENÇAS DO PERITÔNIO;11;DOENÇAS DO APARELHO DIGESTIVO
K716;DOENC HEPATICA TOXICA C/HEPATITE NCOP;K71;DOENC HEPATICA TOXICA;K70-K77;DOENÇAS DO FÍGADO;11;DOENÇAS DO APARELHO DIGESTIVO
S080;AVULSAO DO COURO CABELUDO;S08;AMPUT TRAUM DE PARTE DA CABECA;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
E232;DIABETES INSIPIDO;E23;HIPOFUNCAO E OUTR TRANST DA HIPOFISE;E20-E35;TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
Z59;PROBL RELAC HABITACAO E  COND ECONOMICAS;Z59;PROBL RELAC HABITACAO E  COND ECONOMICAS;Z55-Z65;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM CIRCUNSTÂNCIAS SOCIOECONÔMICAS E PSICOSSOCIAIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
Y290;RESIDENCIA;Y29;CONTATO OBJ CONTUNDENTE INTENC N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A515;SIFILIS PRECOCE LATENTE;A51;SIFILIS PRECOCE;A50-A64;INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
V554;PESSOA AO SUBIR OU DESCER DO VEIC;V55;OCUP CAMINHON TRAUM COLIS TREM VEIC FERROV;V50-V59;OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M859;TRANST NE DENSIDADE ESTRUTURA OSSEAS;M85;OUTR TRANST DA DENSIDADE E ESTRUTURA OSSEAS;M80-M85;TRANSTORNOS DA DENSIDADE E DA ESTRUTURA ÓSSEA;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
O993;TRANS MENT DOEN SIS NERV COMP GRAV PART PUER;O99;OUTR DOENC MAT COP COMPL GRAV PARTO PUERP;O95-O99;OUTRAS AFECÇÕES OBSTÉTRICAS NÃO CLASSIFICADAS EM OUTRA PARTE;15;GRAVIDEZ, PARTO E PUERPÉRIO
H349;OCLUSAO VASCULAR RETINIANA NE;H34;OCLUSOES VASCULARES DA RETINA;H30-H36;TRANSTORNOS DA CORÓIDE E DA RETINA;7;DOENÇAS DO OLHO E ANEXOS
D511;ANEMIA DEF VIT B12 MA-ABS SEL VIT B12 C/PROT;D51;ANEMIA P/DEFIC DE VITAMINA B12;D50-D53;ANEMIAS NUTRICIONAIS;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
C254;PANCREAS ENDOCRINO;C25;NEOPL MALIG DO PANCREAS;C15-C26;NEOPLASIAS [TUMORES] MALIGNAS(OS) DOS ÓRGÃOS DIGESTIVOS;2;NEOPLASIAS [TUMORES]
T81;COMPLIC DE PROCED NCOP;T81;COMPLIC DE PROCED NCOP;T80-T88;COMPLICAÇÕES DE CUIDADOS MÉDICOS E CIRÚRGICOS, NÃO CLASSIFICADOS EM OUTRA PARTE;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
H475;TRANST DE OUTR VIAS OPTICAS;H47;OUTR TRANST DO NERVO OPTICO E VIAS OPTICAS;H46-H48;TRANSTORNOS DO NERVO ÓPTICO E DAS VIAS ÓPTICAS;7;DOENÇAS DO OLHO E ANEXOS
S05;TRAUM DO OLHO E DA ORBITA OCULAR;S05;TRAUM DO OLHO E DA ORBITA OCULAR;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
X024;RUA E ESTRADA;X02;EXPOSICAO FOGO CONTR EDIF OUTR TIPO CONSTR;X00-X09;EXPOSIÇÃO AO FUMO, AO FOGO E ÀS CHAMAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
C88;DOENC IMUNOPROLIFERATIVAS MALIGNAS;C88;DOENC IMUNOPROLIFERATIVAS MALIGNAS;C81-C96;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO TECIDO LINFÁTICO, HEMATOPOÉTICO E DE TECIDOS CORRELATOS;2;NEOPLASIAS [TUMORES]
J689;AFECC RESP NE DEV PROD QUIM GASES FUMAC VAP;J68;AFECC RESP DEV INAL PROD QUIM GAS FUMAC VAP;J60-J70;DOENÇAS PULMONARES DEVIDAS A AGENTES EXTERNOS;10;DOENÇAS DO APARELHO RESPIRATÓRIO
X760;RESIDENCIA;X76;LESAO AUTOPROV INTENC FUMACA FOGO E CHAMAS;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
S534;ENTORSE E DISTENSAO DO COTOVELO;S53;LUXACAO ENTORSE DISTENSAO ARTIC LIG COTOVELO;S50-S59;TRAUMATISMOS DO COTOVELO E DO ANTEBRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
V271;PASSAGEIRO ACID N-TRANS;V27;MOTOCICL TRAUM COLIS OBJETO FIXO PARADO;V20-V29;MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T138;OUTR TRAUM ESPEC DE MEMBRO INFER NIVEL NE;T13;OUTR TRAUM DE MEMBRO INFER NIVEL NE;T08-T14;TRAUMATISMOS DE LOCALIZAÇÃO NÃO ESPECIFICADA DO TRONCO, MEMBRO OU OUTRA REGIÃO DO CORPO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W568;OUTR LOCAIS ESPEC;W56;CONTATO C/ANIMAIS MARINHOS;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
W775;AREAS DE COMERCIO E DE SERVICOS;W77;RISCO RESP DEV DESMOR QUEDA TERRA OUTR SUBST;W75-W84;OUTROS RISCOS ACIDENTAIS À RESPIRAÇÃO;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X331;HABITACAO COLETIVA;X33;VITIMA DE RAIO;X30-X39;EXPOSIÇÃO ÀS FORÇAS DA NATUREZA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
N922;MENSTRUACAO EXCESSIVA NA PUBERDADE;N92;MENSTRUACAO EXCESSIVA FREQUENTE E IRREGULAR;N80-N98;TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO;14;DOENÇAS DO APARELHO GENITURINÁRIO
V636;PASSAGEIRO ACID TRANS;V63;OCUP VEIC TR PESADO TRAUM COL AUTO CAMINHON;V60-V69;OCUPANTE DE UM VEÍCULO DE TRANSPORTE PESADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I431;CARDIOMIOPATIA EM DOENC METABOLICAS;I43;CARDIOMIOPATIA EM DOENC COP;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
V472;PESSOA VIAJANDO EXT VEIC ACID N-TRANS;V47;OCUP AUTOMOVEL TRAUM COLIS OBJ FIXO PARADO;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
W995;AREAS DE COMERCIO E DE SERVICOS;W99;EXPOSICAO OUTR FATORES AMBIENT ARTIF E NE;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X253;AREA P/A PRATICA DE ESPORTES E ATLETISMO;X25;CONTATO C/OUTR ARTROPODES VENENOSOS ESPEC;X20-X29;CONTATO COM ANIMAIS E PLANTAS VENENOSOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q446;DOENC CISTICA DO FIGADO;Q44;MALFORM CONGEN VESIC BILIAR VIA BILIAR FIGAD;Q38-Q45;OUTRAS MALFORMAÇÕES CONGÊNITAS DO APARELHO DIGESTIVO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
P610;TROMBOCITOPENIA TRANSITORIA NEONATAL;P61;OUTR TRANST HEMATOLOGICOS PERINATAIS;P50-P61;"TRANSTORNOS HEMORRÁGICOS E HEMATOLÓGICOS DO FETO E DO RECÉM-NASCIDO;TRANST HEMORRÁG E HEMATOLÓG FETO E RECÉM-NASCIDO";16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
D417;OUTR ORGAOS URINARIOS;D41;NEOPL COMP INCERTO/DESCONH ORGAOS URINARIOS;D37-D48;NEOPLASIAS [TUMORES] DE COMPORTAMENTO INCERTO OU DESCONHECIDO;2;NEOPLASIAS [TUMORES]
B439;CROMOMICOSE NE;B43;CROMOMICOSE E ABSCESSO FEOMICOTICO;B35-B49;MICOSES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
S967;TRAUM MULT MUSC TENDOES NIVEL TORNOZELO E PE;S96;TRAUM MUSCULO E TENDAO NIVEL TORNOZELO E PE;S90-S99;TRAUMATISMOS DO TORNOZELO E DO PÉ;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
T795;ANURIA TRAUM;T79;ALGUMAS COMPLIC PRECOCES DOS TRAUM NCOP;T79-T79;"ALGUMAS COMPLICAÇÕES PRECOCES DE TRAUMATISMOS;ALGUMAS COMPLICAÇÕES PRECOCES DE TRAUMATISMOS";19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
T595;FLUORETO GASOSO E ACIDO FLUORIDRICO;T59;EFEITO TOXICO DE OUTR GASES FUMOS E VAPORES;T51-T65;EFEITOS TÓXICOS DE SUBSTÂNCIAS DE ORIGEM PREDOMINANTEMENTE NÃO MEDICINAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W176;AREAS INDUSTRIAIS E EM CONSTRUCAO;W17;OUTR QUEDAS DE UM NIVEL A OUTR;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
B583;TOXOPLASMOSE PULMONAR;B58;TOXOPLASMOSE;B50-B64;DOENÇAS DEVIDAS A PROTOZOÁRIOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
H73;OUTR TRANST DA MEMBRANA DO TIMPANO;H73;OUTR TRANST DA MEMBRANA DO TIMPANO;H65-H75;DOENÇAS DO OUVIDO MÉDIO E DA MASTÓIDE;8;DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE
Y71;DISP CARDIOVASCULARES ASSOC INCID ADVERSOS;Y71;DISP CARDIOVASCULARES ASSOC INCID ADVERSOS;Y70-Y82;INCIDENTES ADVERSOS DURANTE ATOS DIAGNÓSTICOS OU TERAPÊUTICOS ASSOCIADOS AO USO DE DISPOSITIVOS (APARELHOS) MÉDICOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
V231;PASSAGEIRO ACID N-TRANS;V23;MOTOCICL TRAUM COLIS AUTOMOV PICKUP CAMINHON;V20-V29;MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q165;MALFORMACAO CONGEN DO OUVIDO INTERNO;Q16;MALFORM CONGEN OUVIDO CAUS COMPR AUDICAO;Q10-Q18;MALFORMAÇÕES CONGÊNITAS DO OLHO, DO OUVIDO, DA FACE E DO PESCOÇO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
H624;OTITE EXTERNA EM OUTR DOENC COP;H62;TRANST DO OUVIDO EXTERNO EM DOENC COP;H60-H62;DOENÇAS DO OUVIDO EXTERNO;8;DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE
W911;HABITACAO COLETIVA;W91;EXPOSICAO A TIPO NE DE RADIACAO;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
O654;OBSTR TRAB PARTO DEV DESPROP FETO-PELVICA NE;O65;OBSTR TRAB PARTO DEV ANORM PELVICA DA MAE;O60-O75;COMPLICAÇÕES DO TRABALHO DE PARTO E DO PARTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
L738;OUTR AFECCOES FOLICULARES ESPEC;L73;OUTR AFECCOES FOLICULARES;L60-L75;AFECÇÕES DOS ANEXOS DA PELE;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
V834;PESSOA AO SUBIR OU DESCER VEIC;V83;OCUP VEIC ESP MOT AREA IND TRAUM AC TRANSP;V80-V89;OUTROS ACIDENTES DE TRANSPORTE TERRESTRE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
P035;FET REC-NASC AFETADOS P/PARTO PRECIPITADO;P03;FET REC-NASC AFET OUT COMPL TRAB PARTO PARTO;P00-P04;FETO E RECÉM-NASCIDO AFETADOS POR FATORES MATERNOS E POR COMPLICAÇÕES DA GRAVIDEZ, DO TRABALHO DE PARTO E DO PARTO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
W058;OUTR LOCAIS ESPEC;W05;QUEDA ENVOLV UMA CADEIRA DE RODAS;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
D448;COMPR PLURIGLANDULAR;D44;NEOPL COMP INCERTO/DESCONH GLAND ENDOCRINAS;D37-D48;NEOPLASIAS [TUMORES] DE COMPORTAMENTO INCERTO OU DESCONHECIDO;2;NEOPLASIAS [TUMORES]
I99;OUTR TRANST DO APARELHO CIRCULATORIO E OS NE;I99;OUTR TRANST DO APARELHO CIRCULATORIO E OS NE;I95-I99;OUTROS TRANSTORNOS, E OS NÃO ESPECIFICADOS DO APARELHO CIRCULATÓRIO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
Q370;FENDA BILATERAL PALATO DURO C/FENDA LABIAL;Q37;FENDA LABIAL C/FENDA PALATINA;Q35-Q37;FENDA LABIAL E FENDA PALATINA;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
P744;OUTR DIST ELETROLITICOS TRANSIT RECEM-NASC;P74;OUTR DIST ELETROLIT METAB TRANSIT PER NEONAT;P70-P74;TRANSTORNOS ENDÓCRINOS E METABÓLICOS TRANSITÓRIOS ESPECÍFICOS DO FETO E DO RECÉM-NASCIDO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
Y441;VIT B12 ACID FOLIC OUT PREP PRESC ANEM MEGAL;Y44;SUBST FARM ATUAM PRIM S/CONSTIT SANGUE;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T247;CORROS 3.GRAU QUADR MEMBR INF EXC TORNOZ PE;T24;QUEIM CORROS QUADR MEMBRO INF EXC TORNOZ PE;T20-T25;QUEIMADURAS E CORROSÕES DA SUPERFÍCIE EXTERNA DO CORPO, ESPECIFICADAS POR LOCAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
T132;LUX ENTOR DIST ARTIC LIG NE MEMBR INF NIV NE;T13;OUTR TRAUM DE MEMBRO INFER NIVEL NE;T08-T14;TRAUMATISMOS DE LOCALIZAÇÃO NÃO ESPECIFICADA DO TRONCO, MEMBRO OU OUTRA REGIÃO DO CORPO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
E749;DISTURBIO NE DO METABOLISMO DE CARBOIDRATOS;E74;OUTR DISTURBIOS DO METABOLISMO CARBOIDRATOS;E70-E90;DISTÚRBIOS METABÓLICOS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
H431;HEMORRAGIA DO HUMOR VITREO;H43;TRANST DO HUMOR VITREO;H43-H45;TRANSTORNOS DO HUMOR VÍTREO E DO GLOBO OCULAR;7;DOENÇAS DO OLHO E ANEXOS
B834;HIRUDINIASE INTERNA;B83;OUTR HELMINTIASES;B65-B83;HELMINTÍASES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
L123;EPIDERMOLISE BOLHOSA ADQUIR;L12;PENFIGOIDE;L10-L14;AFECÇÕES BOLHOSAS;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
Q54;HIPOSPADIAS;Q54;HIPOSPADIAS;Q50-Q56;MALFORMAÇÕES CONGÊNITAS DOS ÓRGÃOS GENITAIS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
S129;FRAT DO PESCOCO PARTE NE;S12;FRAT DO PESCOCO;S10-S19;TRAUMATISMOS DO PESCOÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
S376;TRAUM DO UTERO;S37;TRAUM DE ORGAOS PELVICOS;S30-S39;TRAUMATISMOS DO ABDOMEN, DO DORSO, DA COLUNA LOMBAR E DA PELVE;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Q962;CARIOTIPO 46 X CROMOSS SEX ANORM SALVO ISSO;Q96;SINDR DE TURNER;Q90-Q99;ANOMALIAS CROMOSSÔMICAS NÃO CLASSIFICADAS EM OUTRA PARTE;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
J110;INFLUENZA C/PNEUMONIA DEV VIRUS NAO IDENT;J11;INFLUENZA DEV VIRUS NAO IDENTIFICADO;J10-J18;INFLUENZA [GRIPE] E PNEUMONIA;10;DOENÇAS DO APARELHO RESPIRATÓRIO
H351;RETINOPATIA DA PREMATURIDADE;H35;OUTR TRANST DA RETINA;H30-H36;TRANSTORNOS DA CORÓIDE E DA RETINA;7;DOENÇAS DO OLHO E ANEXOS
V303;OCUPANTE NE ACID N-TRANS;V30;OCUP TRICICL MOT TRAUM COLIS PEDESTRE ANIMAL;V30-V39;OCUPANTE DE TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X609;LOCAL NE;X60;AUTO-INT INT ANALG ANTIPIR ANTI-REUM N-OPIAC;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
V145;PASSAGEIRO EM ACID TRANS;V14;CICLIS TRAUM COLIS VEIC TRANSP PESADO ONIBUS;V10-V19;CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T414;ANESTESICO NE;T41;INTOX P/ANESTESICOS E GASES TERAPEUTICOS;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
L628;AFECCOES DAS UNHAS EM OUTR DOENC COP;L62;AFECCOES DAS UNHAS EM DOENC COP;L60-L75;AFECÇÕES DOS ANEXOS DA PELE;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
O269;AFECCOES LIGADAS A GRAVIDEZ NE;O26;ASSIST MATERNA OUTR COMPLIC LIG PREDOM GRAV;O20-O29;OUTROS TRANSTORNOS MATERNOS RELACIONADOS PREDOMINANTEMENTE COM A GRAVIDEZ;15;GRAVIDEZ, PARTO E PUERPÉRIO
N609;DISPLASIA MAMARIA BENIGNA NE;N60;DISPLASIAS MAMARIAS BENIGNAS;N60-N64;DOENÇAS DA MAMA;14;DOENÇAS DO APARELHO GENITURINÁRIO
